ptx,pty,size,angle,response,octave,classid
26.101282119750977,47.35065460205078,2.0916054248809814,302.40948486328125,0.030533311888575554,11010559,-1
27.86235237121582,48.37409591674805,1.8666471242904663,294.46234130859375,0.03154251351952553,2818559,-1
28.536556243896484,16.58301544189453,12.524249076843262,258.56640625,0.01345108076930046,6750977,-1
30.76068687438965,55.68238830566406,7.157338619232178,128.5230255126953,0.05694219097495079,16450304,-1
33.78023910522461,63.37864303588867,2.022366523742676,118.70393371582031,0.020830126479268074,8585727,-1
42.91825485229492,67.02909088134766,1.8455127477645874,103.95654296875,0.01614823192358017,1966591,-1
45.01987838745117,37.632301330566406,3.4711132049560547,262.8945007324219,0.015120290219783783,14222335,-1
45.954254150390625,41.15834045410156,2.086493492126465,251.4139404296875,0.023793019354343414,10879487,-1
51.20367431640625,52.71274948120117,2.51941180229187,120.01121520996094,0.019592592492699623,7799551,-1
51.31805419921875,41.62400817871094,2.569064140319824,284.67437744140625,0.03081701695919037,9175807,-1
51.31805419921875,41.62400817871094,2.569064140319824,296.2562255859375,0.03081701695919037,9175807,-1
51.41316223144531,48.28030776977539,3.107011318206787,337.1104736328125,0.03905763849616051,6226943,-1
55.86140060424805,51.98906326293945,1.8629852533340454,311.24176025390625,0.028945360332727432,2621951,-1
62.220699310302734,47.06264877319336,7.787148475646973,338.5130920410156,0.013337732292711735,5832961,-1
63.72499465942383,39.2415657043457,3.0103132724761963,147.2872314453125,0.01629452407360077,3933183,-1
67.66471862792969,46.404964447021484,3.7429606914520264,142.23944091796875,0.014439145103096962,2949376,-1
70.2040023803711,43.98966598510742,2.04642653465271,143.03671264648438,0.013568341732025146,9437695,-1
70.38378143310547,39.69316482543945,6.091525554656982,316.8139343261719,0.03263039514422417,4784896,-1
72.66548156738281,48.96640396118164,15.309285163879395,25.33697509765625,0.026245230808854103,4587778,-1
72.66548156738281,48.96640396118164,15.309285163879395,315.6941223144531,0.026245230808854103,4587778,-1
81.19245910644531,42.334232330322266,6.12681770324707,329.32794189453125,0.015372791327536106,5178112,-1
